Application Number,InvoiceCode,TransactionID,PaidAmount,TransactionDate,Status
240110086096,NVS_240110086096_17117995705994,818742985,500,45382,Success
240110054228,NVS_240110054228_17115606458207,817133254,1000,45379,Success
240110054072,NVS_240110054072_17115646296840,817147449,500,45381,Success
240110086556,NVS_240110086556_17117986312372,818733405,500,45382,Success
240110050642,NVS_240110050642_17119717799982,819904280,500,45384,Success
240110040720,NVS_240110040720_17114716820341,816663903,1000,45378,Success
240110043557,NVS_240110043557_17115141502163,816788020,1000,45379,Success
240110057601,NVS_240110057601_17116055038520,817342105,500,45381,Success
240110057775,NVS_240110057775_17116066517929,817356088,500,45381,Success
240110094435,NVS_240110094435_17119902313041,820061746,500,45384,Success
240110094205,NVS_240110094205_17118759292593,819182849,500,45384,Success
240110095129,NVS_240110095129_17118845735930,819243550,1000,45384,Success
240110090896,NVS_240110090896_17118857512788,819252262,1000,45384,Success
240110100336,NVS_240110100336_17119501566807,819691084,1500,45384,Success
240110100054,NVS_240110100054_17119504775347,819695991,1500,45384,Success
240110034270,NVS_240110034270_17114425947112,816462193,500,45378,Success
240110034770,NVS_240110034770_17114457287793,816485369,1500,45378,Success
240110064968,NVS_240110064968_17116354434382,817645377,1000,45381,Success
240110065068,NVS_240110065068_17116369944733,817660592,500,45381,Success
240110065962,NVS_240110065962_17116402750612,817687610,1500,45381,Success
240110010572,NVS_240110010572_17112612161785,815653782,1000,45377,Success
240110010705,NVS_240110010705_17112663867611,815686261,500,45377,Success
240110046600,NVS_240110046600_17115271124510,816903201,500,45379,Success
240110101757,NVS_240110101757_17119568648886,819767228,2000,45384,Success
240110059029,NVS_240110059029_17116102444746,817396847,500,45381,Success
240110058719,NVS_240110058719_17116110590956,817406362,1000,45381,Success
240110088327,NVS_240110088327_17118087935295,818832252,500,45382,Success
240110089189,NVS_240110089189_17118131178070,818870790,2000,45382,Success
240110047991,NVS_240110047991_17115311250517,816933302,2000,45379,Success
240110048971,NVS_240110048971_17115346190785,816961639,500,45379,Success
240110049702,NVS_240110049702_17115379385738,816984222,1000,45379,Success
240110072030,NVS_240110072030_17116997541381,818036021,500,45381,Success
240110072445,NVS_240110072445_17117048099956,818079767,500,45381,Success
240110074244,NVS_240110074244_17117078335973,818106286,1000,45381,Success
240110059199,NVS_240110059199_17116194150486,817490786,1000,45381,Success
240110049820,NVS_240110049820_17115390932556,816993183,3000,45379,Success
240110030417,NVS_240110030417_17114281404561,816330964,1000,45378,Success
240110061280,NVS_240110061280_17116218184889,817512616,1500,45381,Success
240110062259,NVS_240110062259_17116227856427,817522466,500,45381,Success
240110068740,NVS_240110068740_17116883268702,817912017,1000,45381,Success
240110068639,NVS_240110068639_17116887157287,817916070,500,45381,Success
240110070903,NVS_240110070903_17116935818524,817972761,500,45381,Success
240110070101,NVS_240110070101_17116938126419,817974773,500,45381,Success
240110071807,NVS_240110071807_17116965971317,818004603,500,45381,Success
240110090507,NVS_240110090507_17118222858372,818933305,1000,45382,Success
240110090498,NVS_240110090498_17118238333255,818940661,1000,45384,Success
240110052841,NVS_240110052841_17115521933620,817087135,500,45379,Success
240110075591,NVS_240110075591_17117154472466,818171207,1000,45381,Success
240110063570,NVS_240110063570_17116286615857,817581075,500,45381,Success
240110092850,NVS_240110092850_17118672301562,819109775,2000,45384,Success
240110092757,NVS_240110092757_17118684913975,819122131,1000,45384,Success
240110093244,NVS_240110093244_17118697464021,819133275,2000,45384,Success
240110008262,NVS_240110008262_17117111340657,818133507,2000,45381,Success
240110096989,NVS_240110096989_17118980301204,819347953,500,45384,Success
240110101954,NVS_240110101954_17119575282335,819773874,2000,45384,Success
240110102172,NVS_240110102172_17119586486921,819784562,1000,45384,Success
240110102164,NVS_240110102164_17119587742230,819785719,1000,45384,Success
240110036122,NVS_240110036122_17114501700331,816517827,500,45378,Success
240110037062,NVS_240110037062_17114544002140,816551664,500,45378,Success
240110038371,NVS_240110038371_17114590256796,816582783,500,45378,Success
240110068742,NVS_240110068742_17116830077340,817860436,1000,45381,Success
240110068497,NVS_240110068497_17116821993714,817855124,1000,45381,Success
240110015701,NVS_240110015701_17112801974388,815753411,3000,45377,Success
240110016584,NVS_240110016584_17112844191069,815774170,1000,45377,Success
240110016984,NVS_240110016984_17112880274305,815792064,1000,45377,Success
240110000527,NVS_240110000527_17111768515599,53506277,2000,45377,Success
240110084368,NVS_240110084368_17117876799662,54282757,1000,45382,Success
240110050817,NVS_240110050817_17115443643378,53947765,1000,45379,Success
240110102145,NVS_240110102145_17119582909470,167319531,500,45384,Success
240110103740,NVS_240110103740_17119680268184,240926971509,1000,45384,Success
240110093217,NVS_240110093217_17118730738698,240916328834,1000,45384,Success
240110073360,NVS_240110073360_17117045615878,5604265038,500,45384,Success
240110104134,NVS_240110104134_17119698063879,IGARBLLWQ6,1000,45384,Success
240110087862,NVS_240110087862_17118055349433,IGARBGTSV4,500,45382,Success
240110012676,NVS_240110012676_17112657149037,CHP4489838,500,45377,Success
